Vehiculo;Posicion;T. Cond;Area Aparcado;Con Reserva;Pref. 1;Pref. 2;Pref. 3;Solic. Reser;Satisfaccion
V150;356;13;A10;SI;A10;A9;A8;1;100
V388;245;28;A5;SI;A5;A4;A3;1;100
V154;155;56;A2;SI;A2;A1;A0;1;100
V319;109;36;A0;SI;A2;A1;A0;3;33
V270;317;43;A6;SI;A6;A5;A4;1;100
V253;382;43;A8;SI;A8;A7;A6;1;100
V163;332;27;A7;SI;A7;A6;A5;1;100
V310;190;19;A2;SI;A4;A3;A2;3;33
V8;111;7;A3;NO;A3;A2;A1;3;0
V13;200;59;A3;SI;A3;A2;A1;1;100
V185;274;20;A4;SI;A6;A5;A4;3;33
V233;394;53;A8;SI;A8;A7;A6;1;100
V280;141;25;A1;SI;A3;A2;A1;3;33
V376;278;23;A4;SI;A6;A5;A4;3;33
V65;169;28;A1;SI;A3;A2;A1;3;33
V352;108;6;A3;NO;A3;A2;A1;3;0
V29;312;47;A6;SI;A6;A5;A4;1;100
V76;368;3;A10;SI;A10;A9;A8;1;100
V273;107;65;A0;SI;A0;;;1;100
V222;220;42;A2;SI;A4;A3;A2;3;33
V382;192;33;A2;SI;A4;A3;A2;3;33
V329;141;49;A2;SI;A2;A1;A0;1;100
V16;307;43;A6;SI;A6;A5;A4;1;100
V54;371;7;A10;SI;A10;A9;A8;1;100
V386;234;32;A5;SI;A5;A4;A3;1;100
V240;233;61;A4;SI;A4;A3;A2;1;100
V395;188;66;A3;SI;A3;A2;A1;1;100
V367;146;26;A1;SI;A3;A2;A1;3;33
V261;253;63;A4;SI;A4;A3;A2;1;100
V325;147;55;A2;SI;A2;A1;A0;1;100
V66;142;11;A3;NO;A3;A2;A1;3;0
V398;389;17;A10;SI;A10;A9;A8;1;100
V257;203;66;A3;SI;A3;A2;A1;1;100
V33;163;5;A4;NO;A4;A3;A2;3;0
V40;180;59;A3;SI;A3;A2;A1;1;100
V343;162;22;A2;SI;A4;A3;A2;3;33
V392;113;43;A0;SI;A1;A0;;2;66
V306;141;13;A3;NO;A3;A2;A1;3;0
V304;371;68;A7;SI;A7;A6;A5;1;100
V11;344;50;A7;SI;A7;A6;A5;1;100
V249;327;67;A6;SI;A6;A5;A4;1;100
V348;130;21;A1;SI;A3;A2;A1;3;33
V97;384;10;A10;SI;A10;A9;A8;1;100
V73;120;62;A0;SI;A1;A0;;2;66
V56;314;22;A7;SI;A7;A6;A5;1;100
V113;228;31;A5;SI;A5;A4;A3;1;100
V92;182;46;A3;SI;A3;A2;A1;1;100
V18;119;68;A1;SI;A1;A0;;1;100
V316;165;19;A2;SI;A4;A3;A2;3;33
V44;302;63;A5;SI;A5;A4;A3;1;100
V80;176;57;A3;SI;A3;A2;A1;1;100
V268;193;60;A3;SI;A3;A2;A1;1;100
V0;107;49;A1;SI;A1;A0;;1;100
V242;392;54;A7;SI;A7;A6;A5;1;100
V260;368;56;A7;SI;A7;A6;A5;1;100
V206;273;3;A7;NO;A7;A6;A5;3;0
V359;281;17;A4;SI;A6;A5;A4;3;33
V153;373;41;A8;SI;A8;A7;A6;1;100
V125;204;60;A3;SI;A3;A2;A1;1;100
V98;237;68;A3;SI;A3;A2;A1;1;100
V290;158;49;A1;SI;A2;A1;A0;2;66
V373;103;54;A0;SI;A1;A0;;2;66
V358;310;35;A6;SI;A6;A5;A4;1;100
V274;309;52;A6;SI;A6;A5;A4;1;100
V196;194;68;A3;SI;A3;A2;A1;1;100
V331;339;22;A7;SI;A7;A6;A5;1;100
V353;398;6;A10;SI;A10;A9;A8;1;100
V380;176;39;A1;SI;A3;A2;A1;3;33
V43;262;18;A4;SI;A6;A5;A4;3;33
V279;163;65;A2;SI;A2;A1;A0;1;100
V61;110;34;A0;SI;A2;A1;A0;3;33
V84;118;52;A0;SI;A1;A0;;2;66
V121;139;58;A0;SI;A1;A0;;2;66
V147;276;24;A4;SI;A6;A5;A4;3;33
V246;180;3;A5;NO;A5;A4;A3;3;0
V118;234;6;A6;NO;A6;A5;A4;3;0
V35;227;11;A3;SI;A5;A4;A3;3;33
V243;382;41;A8;SI;A8;A7;A6;1;100
V271;293;26;A4;SI;A6;A5;A4;3;33
V132;154;36;A1;SI;A3;A2;A1;3;33
V178;393;32;A10;SI;A10;A9;A8;1;100
V191;320;4;A8;SI;A8;A7;A6;1;100
V160;301;33;A6;SI;A6;A5;A4;1;100
V146;103;55;A0;SI;A1;A0;;2;66
V302;101;69;A0;SI;A0;;;1;100
V251;390;26;A10;SI;A10;A9;A8;1;100
V227;380;39;A8;SI;A8;A7;A6;1;100
V363;106;15;A1;SI;A3;A2;A1;3;33
V315;324;45;A6;SI;A6;A5;A4;1;100
V298;153;21;A1;SI;A3;A2;A1;3;33
